t,V,Ap,Apm,Thn,The,Tkn,Tke,B,Ps,Pl,Bm,A
990,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.01,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.02,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.03,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.04,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.05,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.06,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.07,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.08,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.09,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.1,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.11,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.12,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.13,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.14,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.15,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.16,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.17,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.18,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.19,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.2,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.21,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.22,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.23,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.24,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.25,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.26,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.27,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
